Tikr,KPI,Mar_2010,Mar_2011,Mar_2012,Mar_2013,Mar_2014,Mar_2015,Mar_2016,Mar_2017,Mar_2018,Mar_2019,Mar_2020,Mar_2021,TTM,Dec_2009,Dec_2010,Dec_2011,Dec_2012,Dec_2013,Dec_2014,Dec_2015,Dec_2016,Dec_2017,Dec_2018,Dec_2019,Dec_2020,Jun_2010,Jun_2011,Jun_2012,Jun_2013,Jun_2014,Jun_2015,Jun_2016,Jun_2017,Jun_2018,Jun_2019,Jun_2020,Jun_2021,Sep_2009,Sep_2010,Sep_2011,Sep_2012,Sep_2006,Sep_2007,Sep_2008,Mar_2009,Jun_2009,Sep_2013,Sep_2014,Sep_2015,Sep_2016,Sep_2017,Sep_2018,Sep_2019,Sep_2020,Mar_2008,Nov_2009,Dec_2008,Oct_2010,Oct_2011,Oct_2012,Oct_2013,Mar_2007,Mar_2006,Jun_2007,Jun_2008,Mar_2004,Mar_2003
TCS,Sales +,23044,29275,38104,48426,64673,73578,85864,92693,97356,123170,131306,135963,148011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Expenses +,16520,20512,26719,34120,43139,52550,58810,65604,69551,88206,93953,95653,103553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Operating Profit,6525,8764,11386,14306,21534,21028,27054,27089,27805,34964,37353,40310,44458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,OPM %,28%,30%,30%,30%,33%,29%,32%,29%,29%,28%,28%,30%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Other Income,324,495,2685,2230,3115,4995,3757,4568,5803,7627,8082,4182,6240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Interest,10,20,16,31,23,80,13,16,30,170,743,537,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Depreciation,469,538,688,803,1081,1394,1459,1575,1647,1716,2701,3053,3212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Profit before tax,6370,8700,13366,15703,23544,24550,29339,30066,31931,40705,41991,40902,46979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Tax %,12%,13%,18%,19%,22%,22%,21%,21%,21%,26%,21%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Net Profit,5619,7570,10976,12786,18475,19257,23075,23653,25241,30065,33260,30960,35849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,EPS in Rs,14.35,19.34,28.04,32.66,47.16,49.16,58.55,60.02,65.93,80.12,88.64,83.7,96.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Dividend Payout %,70%,36%,45%,34%,34%,80%,37%,39%,38%,37%,82%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Sales +,4214,6388,8901,,,22131,11749,8130,5334,3129,3140,3735,5707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2908,,19918,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Expenses +,3100,4548,6342,,,17085,14620,10004,18431,3325,3438,4190,5319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171,,14493,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Operating Profit,1114,1840,2559,,,5046,-2871,-1875,-13098,-197,-298,-454,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737,,5425,,,,,,,,,,,,,,,,,,,,
ALOKINDS,OPM %,26%,29%,29%,,,23%,-24%,-23%,-246%,-6%,-9%,-12%,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,27%,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Other Income,172,-2,-56,,,224,233,35,102,7169,2129,-3219,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,-122,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Interest,549,736,1150,,,3251,2705,3274,4683,4158,79,473,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,,2542,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Depreciation,363,519,713,,,1461,1016,513,528,533,529,285,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,,1361,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Profit before tax,375,583,640,,,558,-6360,-5626,-18206,2281,1222,-4432,-314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,,1400,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Tax %,34%,31%,41%,,,38%,34%,38%,-0%,-0%,-0%,-32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34%,,34%,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Net Profit,247,404,381,,,349,-4206,-3502,-18217,2282,1223,-5855,-272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,920,,,,,,,,,,,,,,,,,,,,
ALOKINDS,EPS in Rs,1.88,3.08,2.76,,,2.53,-30.54,-25.43,-132.27,16.57,5.53,-11.79,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,,6.68,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Dividend Payout %,8%,5%,7%,,,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,4%,,,,,,,,,,,,,,,,,,,,
KUANTUM,Sales +,212,307,376,422,477,499,526,608,704,793,745,404,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
