,Tikr,Sales_2010,Sales_2011,Sales_2012,Sales_2013,Sales_2014,Sales_2015,Sales_2016,Sales_2017,Sales_2018,Sales_2019,Sales_2020,Sales_2021,Sales_2011_YoY,Sales_2012_YoY,Sales_2013_YoY,Sales_2014_YoY,Sales_2015_YoY,Sales_2016_YoY,Sales_2017_YoY,Sales_2018_YoY,Sales_2019_YoY,Sales_2020_YoY,Sales_2021_YoY,Tikr,Revenue_2010,Revenue_2011,Revenue_2012,Revenue_2013,Revenue_2014,Revenue_2015,Revenue_2016,Revenue_2017,Revenue_2018,Revenue_2019,Revenue_2020,Revenue_2021,Revenue_2011_YoY,Revenue_2012_YoY,Revenue_2013_YoY,Revenue_2014_YoY,Revenue_2015_YoY,Revenue_2016_YoY,Revenue_2017_YoY,Revenue_2018_YoY,Revenue_2019_YoY,Revenue_2020_YoY,Revenue_2021_YoY,Tikr,Expenses_2010,Expenses_2011,Expenses_2012,Expenses_2013,Expenses_2014,Expenses_2015,Expenses_2016,Expenses_2017,Expenses_2018,Expenses_2019,Expenses_2020,Expenses_2021,Expenses_2011_YoY,Expenses_2012_YoY,Expenses_2013_YoY,Expenses_2014_YoY,Expenses_2015_YoY,Expenses_2016_YoY,Expenses_2017_YoY,Expenses_2018_YoY,Expenses_2019_YoY,Expenses_2020_YoY,Expenses_2021_YoY,Tikr,Net_Profit_2010,Net_Profit_2011,Net_Profit_2012,Net_Profit_2013,Net_Profit_2014,Net_Profit_2015,Net_Profit_2016,Net_Profit_2017,Net_Profit_2018,Net_Profit_2019,Net_Profit_2020,Net_Profit_2021,Net_Profit_2011_YoY,Net_Profit_2012_YoY,Net_Profit_2013_YoY,Net_Profit_2014_YoY,Net_Profit_2015_YoY,Net_Profit_2016_YoY,Net_Profit_2017_YoY,Net_Profit_2018_YoY,Net_Profit_2019_YoY,Net_Profit_2020_YoY,Net_Profit_2021_YoY,Tikr,Operating_Profit_2010,Operating_Profit_2011,Operating_Profit_2012,Operating_Profit_2013,Operating_Profit_2014,Operating_Profit_2015,Operating_Profit_2016,Operating_Profit_2017,Operating_Profit_2018,Operating_Profit_2019,Operating_Profit_2020,Operating_Profit_2021,Operating_Profit_2011_YoY,Operating_Profit_2012_YoY,Operating_Profit_2013_YoY,Operating_Profit_2014_YoY,Operating_Profit_2015_YoY,Operating_Profit_2016_YoY,Operating_Profit_2017_YoY,Operating_Profit_2018_YoY,Operating_Profit_2019_YoY,Operating_Profit_2020_YoY,Operating_Profit_2021_YoY,Tikr,EPS_in_Rs_2010,EPS_in_Rs_2011,EPS_in_Rs_2012,EPS_in_Rs_2013,EPS_in_Rs_2014,EPS_in_Rs_2015,EPS_in_Rs_2016,EPS_in_Rs_2017,EPS_in_Rs_2018,EPS_in_Rs_2019,EPS_in_Rs_2020,EPS_in_Rs_2021,EPS_in_Rs_2011_YoY,EPS_in_Rs_2012_YoY,EPS_in_Rs_2013_YoY,EPS_in_Rs_2014_YoY,EPS_in_Rs_2015_YoY,EPS_in_Rs_2016_YoY,EPS_in_Rs_2017_YoY,EPS_in_Rs_2018_YoY,EPS_in_Rs_2019_YoY,EPS_in_Rs_2020_YoY,EPS_in_Rs_2021_YoY,Tikr,Tax__2010,Tax__2011,Tax__2012,Tax__2013,Tax__2014,Tax__2015,Tax__2016,Tax__2017,Tax__2018,Tax__2019,Tax__2020,Tax__2021,Tax__2011_YoY,Tax__2012_YoY,Tax__2013_YoY,Tax__2014_YoY,Tax__2015_YoY,Tax__2016_YoY,Tax__2017_YoY,Tax__2018_YoY,Tax__2019_YoY,Tax__2020_YoY,Tax__2021_YoY,Tikr,OPM__2010,OPM__2011,OPM__2012,OPM__2013,OPM__2014,OPM__2015,OPM__2016,OPM__2017,OPM__2018,OPM__2019,OPM__2020,OPM__2021,OPM__2011_YoY,OPM__2012_YoY,OPM__2013_YoY,OPM__2014_YoY,OPM__2015_YoY,OPM__2016_YoY,OPM__2017_YoY,OPM__2018_YoY,OPM__2019_YoY,OPM__2020_YoY,OPM__2021_YoY
0,20MICRONS,175.0,234.0,262.0,275.0,288.0,311.0,333.0,357.0,385.0,436.0,490.0,432.0,33.714285714285715,11.965811965811966,4.961832061068702,4.7272727272727275,7.986111111111111,7.07395498392283,7.207207207207207,7.8431372549019605,13.246753246753245,12.385321100917432,0.0,20MICRONS,,,,,,,,,,,,,,,,,,,,,,,,20MICRONS,157.0,210.0,231.0,242.0,265.0,288.0,291.0,308.0,332.0,374.0,431.0,382.0,33.75796178343949,10.0,4.761904761904762,9.50413223140496,8.679245283018867,1.0416666666666665,5.841924398625429,7.792207792207792,12.650602409638553,15.240641711229946,0.0,20MICRONS,7.0,6.0,11.0,3.0,0.0,-4.0,9.0,13.0,16.0,22.0,25.0,22.0,-14.285714285714285,83.33333333333334,-72.72727272727273,-100.0,-inf,-325.0,44.44444444444444,23.076923076923077,37.5,13.636363636363635,0.0,20MICRONS,19.0,24.0,31.0,33.0,23.0,23.0,41.0,49.0,52.0,62.0,59.0,51.0,26.31578947368421,29.166666666666668,6.451612903225806,-30.303030303030305,0.0,78.26086956521739,19.51219512195122,6.122448979591836,19.230769230769234,-4.838709677419355,0.0,20MICRONS,2.54,1.92,3.76,1.02,0.04,-1.2,2.65,3.73,4.5,6.15,7.08,6.36,-24.40944881889764,95.83333333333333,-72.87234042553192,-96.078431372549,-3100.0,-320.8333333333333,40.75471698113208,20.64343163538874,36.66666666666668,15.121951219512189,0.0,20MICRONS,28.0,40.0,27.0,42.0,-62.0,12.0,23.0,32.0,33.0,36.0,29.0,-8.0,42.857142857142854,-32.5,55.55555555555556,-247.61904761904762,-119.35483870967742,91.66666666666666,39.130434782608695,3.125,9.090909090909092,-19.444444444444446,-0.0,20MICRONS,11.0,10.0,12.0,12.0,8.0,7.0,12.0,14.0,14.0,14.0,12.0,12.0,-9.090909090909092,20.0,0.0,-33.33333333333333,-12.5,71.42857142857143,16.666666666666664,0.0,0.0,-14.285714285714285,0.0
1,21STCENMGM,1.18,23.45,-4.2,0.12,1.08,37.13,2.88,1.92,10.51,8.58,-9.71,-1.73,1887.2881355932204,-117.91044776119404,-102.85714285714288,800.0000000000002,3337.9629629629635,-92.24346889307836,-33.33333333333333,447.3958333333333,-18.36346336822074,-213.17016317016316,-0.0,21STCENMGM,,,,,,,,,,,,,,,,,,,,,,,,21STCENMGM,0.91,14.71,3.26,0.58,1.23,2.48,1.85,2.15,2.23,1.53,2.02,1.85,1516.4835164835165,-77.83820530251529,-82.20858895705521,112.0689655172414,101.62601626016261,-25.40322580645161,16.216216216216207,3.720930232558143,-31.39013452914798,32.02614379084967,0.0,21STCENMGM,0.6,6.95,-7.64,-2.24,-0.26,24.9,0.29,-0.39,5.68,5.51,-11.86,-3.66,1058.3333333333335,-209.92805755395682,-70.6806282722513,-88.39285714285714,-9676.923076923076,-98.83534136546184,-234.48275862068962,-1556.4102564102561,-2.992957746478872,-315.2450090744101,-0.0,21STCENMGM,0.27,8.74,-7.46,-0.46,-0.15,34.65,1.03,-0.23,8.28,7.05,-11.73,-3.58,3137.037037037037,-185.35469107551486,-93.8337801608579,-67.3913043478261,-23200.0,-97.02741702741703,-122.33009708737863,-3700.0,-14.855072463768112,-266.3829787234043,-0.0,21STCENMGM,0.57,6.62,-7.28,-2.13,-0.25,23.71,0.28,-0.37,5.41,5.25,-11.3,-3.49,1061.4035087719299,-209.9697885196375,-70.74175824175825,-88.26291079812206,-9584.0,-98.81906368620834,-232.1428571428571,-1562.1621621621623,-2.957486136783736,-315.2380952380953,-0.0,21STCENMGM,0.0,20.21,0.39,-268.85,3.85,26.59,28.21,11.36,28.88,20.12,-0.25,-0.27,inf,-98.07026224641267,-69035.89743589744,-101.43202529291426,590.6493506493506,6.092515983452429,-59.73059198865651,154.22535211267606,-30.332409972299164,-101.24254473161034,-0.0,21STCENMGM,22.88,37.27,0.0,-383.33,-13.89,93.32,35.76,-11.98,78.78,82.17,0.0,0.0,62.89335664335667,-100.0,-inf,-96.37649023034983,-771.8502519798415,-61.68024003429061,-133.50111856823267,-757.5959933222036,4.303122619954304,-100.0,
2,3IINFOTECH,692.0,963.0,1120.0,1198.0,1278.0,1437.0,1431.0,1521.0,1833.0,2076.0,1870.0,1700.0,39.16184971098266,16.303219106957425,6.964285714285714,6.67779632721202,12.44131455399061,-0.41753653444676403,6.289308176100629,20.51282051282051,13.2569558101473,-9.922928709055876,0.0,3IINFOTECH,,,,,,,,,,,,,,,,,,,,,,,,3IINFOTECH,633.0,874.0,1025.0,1116.0,1189.0,1320.0,1302.0,1374.0,1662.0,1898.0,1732.0,1592.0,38.072669826224335,17.276887871853546,8.878048780487804,6.5412186379928325,11.01766190075694,-1.3636363636363635,5.529953917050691,20.96069868995633,14.199759326113117,-8.74604847207587,0.0,3IINFOTECH,24.0,45.0,53.0,38.0,43.0,60.0,75.0,83.0,94.0,95.0,85.0,60.0,87.5,17.77777777777778,-28.30188679245283,13.157894736842104,39.53488372093023,25.0,10.666666666666668,13.253012048192772,1.0638297872340425,-10.526315789473683,0.0,3IINFOTECH,59.0,89.0,95.0,83.0,89.0,117.0,129.0,146.0,171.0,178.0,138.0,108.0,50.847457627118644,6.741573033707865,-12.631578947368421,7.228915662650602,31.46067415730337,10.256410256410255,13.178294573643413,17.123287671232877,4.093567251461988,-22.47191011235955,0.0,3IINFOTECH,0.0,0.0,0.0,2.66,2.97,4.18,5.24,5.76,6.56,6.61,5.9,4.2,,,inf,11.654135338345865,40.74074074074072,25.358851674641166,9.923664122137396,13.888888888888888,0.7621951219512304,-10.741301059001513,0.0,3IINFOTECH,32.0,21.0,15.0,7.0,24.0,28.0,21.0,27.0,31.0,34.0,16.0,23.0,-34.375,-28.57142857142857,-53.333333333333336,242.85714285714283,16.666666666666664,-25.0,28.57142857142857,14.814814814814813,9.67741935483871,-52.94117647058824,0.0,3IINFOTECH,8.0,9.0,8.0,7.0,7.0,8.0,9.0,10.0,9.0,9.0,7.0,6.0,12.5,-11.11111111111111,-12.5,0.0,14.285714285714285,12.5,11.11111111111111,-10.0,0.0,-22.22222222222222,0.0
3,3MINDIA,1087.0,1191.0,1405.0,1574.0,1742.0,1840.0,2140.0,2363.0,2556.0,2809.0,2765.0,2420.0,9.567617295308189,17.968094038623008,12.028469750889679,10.673443456162643,5.625717566016074,16.304347826086957,10.42056074766355,8.167583580194668,9.898278560250391,-1.5663937344250625,0.0,3MINDIA,,,,,,,,,,,,,,,,,,,,,,,,3MINDIA,948.0,1035.0,1283.0,1463.0,1630.0,1636.0,1803.0,1994.0,2076.0,2301.0,2425.0,2183.0,9.177215189873419,23.96135265700483,14.02961808261886,11.414900888585098,0.36809815950920244,10.207823960880196,10.593455352190793,4.112337011033099,10.83815028901734,5.388961321164711,0.0,3MINDIA,93.0,99.0,65.0,52.0,43.0,108.0,195.0,241.0,311.0,323.0,219.0,149.0,6.451612903225806,-34.34343434343434,-20.0,-17.307692307692307,151.1627906976744,80.55555555555556,23.589743589743588,29.045643153526974,3.858520900321544,-32.19814241486068,0.0,3MINDIA,138.0,156.0,122.0,112.0,112.0,204.0,337.0,369.0,480.0,508.0,340.0,238.0,13.043478260869565,-21.794871794871796,-8.19672131147541,0.0,82.14285714285714,65.19607843137256,9.495548961424333,30.081300813008134,5.833333333333333,-33.07086614173229,0.0,3MINDIA,82.41,87.7,57.5,46.4,38.16,96.17,172.89,213.72,275.67,286.72,194.38,132.53,6.419123892731473,-34.43557582668188,-19.30434782608696,-17.758620689655178,152.01781970649898,79.77539773318081,23.61617213256985,28.986524424480635,4.00841585954221,-32.2056361607143,0.0,3MINDIA,34.0,33.0,33.0,30.0,38.0,34.0,36.0,35.0,35.0,35.0,32.0,26.0,-2.941176470588235,0.0,-9.090909090909092,26.666666666666668,-10.526315789473683,5.88235294117647,-2.7777777777777777,0.0,0.0,-8.571428571428571,0.0,3MINDIA,13.0,13.0,9.0,7.0,6.0,11.0,16.0,16.0,19.0,18.0,12.0,10.0,0.0,-30.76923076923077,-22.22222222222222,-14.285714285714285,83.33333333333334,45.45454545454545,0.0,18.75,-5.263157894736842,-33.33333333333333,0.0
4,3PLAND,70.27,99.43,125.64,133.58,137.98,157.05,0.09,0.08,0.14,1.84,1.85,1.41,41.49708268108726,26.360253444634406,6.319643425660628,3.293906273394203,13.820843600521831,-99.94269340974212,-11.111111111111107,75.00000000000001,1214.2857142857142,0.5434782608695656,0.0,3PLAND,,,,,,,,,,,,,,,,,,,,,,,,3PLAND,67.91,100.93,122.38,127.73,129.87,148.8,0.54,0.41,0.52,0.55,0.5,0.43,48.62317773523783,21.25235311602099,4.371629351201184,1.6754090659985912,14.576114576114582,-99.63709677419355,-24.074074074074083,26.82926829268294,5.7692307692307745,-9.090909090909099,0.0,3PLAND,1.75,-1.56,-0.22,0.7,0.7,1.66,0.24,-0.13,-0.04,-0.2,4.43,0.64,-189.14285714285714,-85.8974358974359,-418.1818181818182,0.0,137.14285714285714,-85.54216867469879,-154.16666666666669,-69.23076923076923,400.0,-2315.0,0.0,3PLAND,2.36,-1.5,3.26,5.85,8.11,8.25,-0.45,-0.33,-0.38,1.29,1.35,0.98,-163.55932203389833,-317.3333333333333,79.4478527607362,38.63247863247863,1.7262638717632623,-105.45454545454544,-26.666666666666668,15.151515151515147,-439.4736842105263,4.651162790697678,0.0,3PLAND,0.97,-0.87,-0.12,0.39,0.39,0.92,0.13,-0.07,-0.02,-0.11,2.46,0.36,-189.69072164948452,-86.20689655172414,-425.0,0.0,135.8974358974359,-85.86956521739131,-153.84615384615387,-71.42857142857143,450.0,-2336.3636363636365,0.0,3PLAND,33.96,40.23,0.0,18.6,65.17,40.07,4.17,-8.33,71.43,60.0,6.34,26.74,18.462897526501752,-100.0,inf,250.37634408602148,-38.51465398189351,-89.59321187921138,-299.7601918465228,-957.5030012004802,-16.00167996640068,-89.43333333333334,0.0,3PLAND,3.36,-1.51,2.59,4.38,5.88,5.25,-500.0,-412.5,-271.43,70.11,72.97,69.5,-144.9404761904762,-271.523178807947,69.11196911196912,34.24657534246575,-10.714285714285712,-9623.809523809525,-17.5,-34.198787878787876,-125.82986405334708,4.0793039509342455,0.0
5,5PAISA,0.0,0.0,0.0,0.0,5.0,11.0,-1.0,7.0,20.0,61.0,108.0,192.0,,,,inf,120.0,-109.09090909090908,-800.0,185.71428571428572,204.99999999999997,77.04918032786885,0.0,5PAISA,,,,,,,,,,,,,,,,,,,,,,,,5PAISA,0.0,0.0,0.0,0.0,3.0,3.0,4.0,22.0,51.0,78.0,99.0,147.0,,,,inf,0.0,33.33333333333333,450.0,131.8181818181818,52.94117647058824,26.923076923076923,0.0,5PAISA,0.0,0.0,0.0,0.0,1.0,4.0,-6.0,-12.0,-25.0,-19.0,-8.0,17.0,,,,inf,300.0,-250.0,100.0,108.33333333333333,-24.0,-57.89473684210527,0.0,5PAISA,0.0,0.0,0.0,0.0,2.0,8.0,-5.0,-15.0,-32.0,-17.0,10.0,46.0,,,,inf,300.0,-162.5,200.0,113.33333333333333,-46.875,-158.8235294117647,0.0,5PAISA,0.0,0.0,0.0,0.0,1.9,5.79,-9.02,-3.3,-9.92,-7.42,-3.1,6.79,,,,inf,204.7368421052632,-255.78583765112262,-63.41463414634146,200.60606060606062,-25.201612903225808,-58.22102425876011,0.0,5PAISA,0.0,0.0,0.0,0.0,33.0,32.0,29.0,29.0,24.0,25.0,18.0,26.0,,,,inf,-3.0303030303030303,-9.375,0.0,-17.24137931034483,4.166666666666666,-28.000000000000004,0.0,5PAISA,0.0,0.0,0.0,0.0,38.0,70.0,0.0,-199.0,-161.0,-28.0,9.0,24.0,,,,inf,84.21052631578947,-100.0,-inf,-19.09547738693467,-82.6086956521739,-132.14285714285714,0.0
6,63MOONS,307.0,358.0,426.0,451.0,335.0,161.0,141.0,150.0,227.0,147.0,139.0,144.0,16.612377850162865,18.994413407821227,5.868544600938967,-25.72062084257206,-51.94029850746269,-12.422360248447205,6.382978723404255,51.33333333333333,-35.24229074889868,-5.442176870748299,0.0,63MOONS,,,,,,,,,,,,,,,,,,,,,,,,63MOONS,450.0,295.0,178.0,190.0,248.0,274.0,276.0,257.0,248.0,264.0,248.0,202.0,-34.44444444444444,-39.66101694915255,6.741573033707865,30.526315789473685,10.483870967741936,0.7299270072992701,-6.884057971014493,-3.501945525291829,6.451612903225806,-6.0606060606060606,0.0,63MOONS,344.0,92.0,478.0,323.0,-229.0,445.0,71.0,49.0,16.0,0.0,-118.0,-57.0,-73.25581395348837,419.5652173913044,-32.42677824267782,-170.89783281733745,-294.3231441048035,-84.04494382022472,-30.985915492957744,-67.3469387755102,-100.0,-inf,-0.0,63MOONS,-143.0,62.0,248.0,261.0,86.0,-113.0,-135.0,-107.0,-21.0,-117.0,-109.0,-57.0,-143.35664335664336,300.0,5.241935483870968,-67.04980842911877,-231.39534883720933,19.469026548672566,-20.74074074074074,-80.37383177570094,457.1428571428571,-6.837606837606838,-0.0,63MOONS,74.74,19.95,103.74,70.07,-49.6,96.6,15.35,10.65,3.55,0.02,-25.68,-12.29,-73.3074658817233,420.0,-32.45614035087719,-170.78635650064223,-294.758064516129,-84.10973084886129,-30.61889250814332,-66.66666666666667,-99.43661971830986,-128500.0,-0.0,63MOONS,23.0,-78.0,10.0,20.0,-27.0,13.0,60.0,43.0,77.0,99.0,-5.0,-4.0,-439.1304347826087,-112.82051282051282,100.0,-235.0,-148.14814814814815,361.53846153846155,-28.333333333333332,79.06976744186046,28.57142857142857,-105.05050505050507,-0.0,63MOONS,-47.0,17.0,58.0,58.0,26.0,-70.0,-95.0,-71.0,-9.0,-79.0,-79.0,-40.0,-136.17021276595744,241.17647058823528,0.0,-55.172413793103445,-369.2307692307692,35.714285714285715,-25.263157894736842,-87.32394366197182,777.7777777777777,-0.0,-0.0
7,A2ZINFRA,1118.0,1107.0,968.0,555.0,336.0,219.0,955.0,635.0,358.0,507.0,385.0,188.0,-0.9838998211091234,-12.556458897922312,-42.66528925619835,-39.45945945945946,-34.82142857142857,336.07305936073055,-33.50785340314136,-43.62204724409449,41.62011173184357,-24.06311637080868,0.0,A2ZINFRA,,,,,,,,,,,,,,,,,,,,,,,,A2ZINFRA,913.0,886.0,863.0,567.0,442.0,311.0,894.0,587.0,385.0,465.0,424.0,236.0,-2.9572836801752467,-2.595936794582393,-34.29895712630359,-22.045855379188712,-29.638009049773757,187.45980707395498,-34.34004474272931,-34.41226575809199,20.77922077922078,-8.817204301075268,0.0,A2ZINFRA,95.0,85.0,20.0,-54.0,-195.0,-124.0,-40.0,-139.0,-115.0,32.0,-291.0,-83.0,-10.526315789473683,-76.47058823529412,-370.0,261.11111111111114,-36.41025641025641,-67.74193548387096,247.5,-17.26618705035971,-127.82608695652173,-1009.375,-0.0,A2ZINFRA,205.0,221.0,106.0,-12.0,-106.0,-92.0,61.0,48.0,-27.0,42.0,-39.0,-48.0,7.804878048780488,-52.03619909502263,-111.32075471698113,783.3333333333333,-13.20754716981132,-166.30434782608697,-21.311475409836063,-156.25,-255.55555555555554,-192.85714285714286,-0.0,A2ZINFRA,0.0,11.51,2.66,-7.25,-26.28,-14.32,-3.17,-9.6,-6.52,1.82,-16.52,-4.72,inf,-76.88966116420504,-372.5563909774436,262.48275862068965,-45.50989345509894,-77.86312849162012,202.8391167192429,-32.083333333333336,-127.91411042944787,-1007.6923076923076,-0.0,A2ZINFRA,35.0,36.0,39.0,37.0,-1.0,40.0,-2.0,-73.0,0.0,4.0,-14.0,0.0,2.857142857142857,8.333333333333332,-5.128205128205128,-102.7027027027027,-4100.0,-105.0,3550.0,-100.0,inf,-450.0,,A2ZINFRA,18.0,20.0,11.0,-2.0,-32.0,-42.0,6.0,7.0,-8.0,8.0,-10.0,-25.0,11.11111111111111,-45.0,-118.18181818181819,1500.0,31.25,-114.28571428571428,16.666666666666664,-214.28571428571428,-200.0,-225.0,-0.0
8,AARTIDRUGS,460.0,496.0,659.0,826.0,972.0,1087.0,1076.0,1089.0,1140.0,1454.0,1635.0,1915.0,7.82608695652174,32.86290322580645,25.341426403641883,17.675544794188863,11.831275720164609,-1.011959521619135,1.20817843866171,4.683195592286501,27.54385964912281,12.448418156808803,0.0,AARTIDRUGS,,,,,,,,,,,,,,,,,,,,,,,,AARTIDRUGS,398.0,432.0,579.0,703.0,822.0,915.0,900.0,910.0,955.0,1252.0,1387.0,1511.0,8.542713567839195,34.02777777777778,21.416234887737478,16.927453769559033,11.313868613138686,-1.639344262295082,1.1111111111111112,4.945054945054945,31.099476439790575,10.782747603833865,0.0,AARTIDRUGS,26.0,22.0,22.0,45.0,62.0,78.0,66.0,75.0,73.0,87.0,136.0,258.0,-15.384615384615385,0.0,104.54545454545455,37.77777777777778,25.806451612903224,-15.384615384615385,13.636363636363635,-2.666666666666667,19.17808219178082,56.32183908045977,0.0,AARTIDRUGS,63.0,65.0,80.0,123.0,150.0,172.0,176.0,179.0,185.0,203.0,248.0,404.0,3.1746031746031744,23.076923076923077,53.75,21.951219512195124,14.666666666666666,2.3255813953488373,1.7045454545454544,3.35195530726257,9.72972972972973,22.167487684729064,0.0,AARTIDRUGS,2.7,2.32,2.32,4.67,6.38,8.01,6.84,7.91,7.78,9.25,14.56,27.65,-14.074074074074087,0.0,101.29310344827587,36.61670235546038,25.54858934169279,-14.606741573033707,15.643274853801174,-1.6434892541087216,18.89460154241645,57.40540540540541,0.0,AARTIDRUGS,40.0,29.0,30.0,31.0,28.0,22.0,29.0,30.0,35.0,32.0,22.0,24.0,-27.500000000000004,3.4482758620689653,3.3333333333333335,-9.67741935483871,-21.428571428571427,31.818181818181817,3.4482758620689653,16.666666666666664,-8.571428571428571,-31.25,0.0,AARTIDRUGS,14.0,13.0,12.0,15.0,15.0,16.0,16.0,16.0,16.0,14.0,15.0,21.0,-7.142857142857142,-7.6923076923076925,25.0,0.0,6.666666666666667,0.0,0.0,0.0,-12.5,7.142857142857142,0.0
9,AARTIIND,1276.0,1427.0,1667.0,2086.0,2619.0,2853.0,2934.0,3050.0,3699.0,4025.0,3994.0,4317.0,11.833855799373042,16.818500350385424,25.13497300539892,25.551294343240656,8.934707903780069,2.8391167192429023,3.953646898432175,21.278688524590166,8.813192754798594,-0.7701863354037267,0.0,AARTIIND,,,,,,,,,,,,,,,,,,,,,,,,AARTIIND,1075.0,1233.0,1422.0,1729.0,2223.0,2396.0,2404.0,2442.0,3043.0,3108.0,3065.0,3382.0,14.69767441860465,15.328467153284672,21.58931082981716,28.57142857142857,7.782276203328835,0.333889816360601,1.5806988352745424,24.610974610974612,2.1360499507065396,-1.3835263835263836,0.0,AARTIIND,70.0,67.0,87.0,131.0,149.0,188.0,252.0,307.0,316.0,481.0,523.0,514.0,-4.285714285714286,29.850746268656714,50.57471264367817,13.740458015267176,26.174496644295303,34.04255319148936,21.825396825396826,2.9315960912052117,52.21518987341772,8.731808731808732,0.0,AARTIIND,201.0,194.0,245.0,356.0,396.0,456.0,530.0,608.0,657.0,917.0,930.0,935.0,-3.482587064676617,26.288659793814436,45.30612244897959,11.235955056179774,15.151515151515152,16.228070175438596,14.716981132075471,8.05921052631579,39.5738203957382,1.4176663031624863,0.0,AARTIIND,2.29,2.18,2.76,4.15,4.2,5.3,7.58,9.34,9.73,13.89,15.02,14.73,-4.803493449781654,26.60550458715594,50.36231884057973,1.2048192771084292,26.19047619047618,43.01886792452831,23.21899736147757,4.1755888650963655,42.75436793422405,8.135349172066226,0.0,AARTIIND,35.0,29.0,29.0,29.0,26.0,24.0,24.0,19.0,19.0,19.0,19.0,19.0,-17.142857142857142,0.0,0.0,-10.344827586206897,-7.6923076923076925,0.0,-20.833333333333336,0.0,0.0,0.0,0.0,AARTIIND,16.0,14.0,15.0,17.0,15.0,16.0,18.0,20.0,18.0,23.0,23.0,22.0,-12.5,7.142857142857142,13.333333333333334,-11.76470588235294,6.666666666666667,12.5,11.11111111111111,-10.0,27.77777777777778,0.0,0.0
