Tikr,KPI,Mar_2010,Mar_2011,Mar_2012,Mar_2013,Mar_2014,Mar_2015,Mar_2016,Mar_2017,Mar_2018,Mar_2019,Mar_2020,Mar_2021,Sep_2021,Dec_2009,Dec_2010,Dec_2011,Dec_2012,Dec_2013,Dec_2014,Dec_2015,Dec_2016,Dec_2017,Dec_2018,Dec_2019,Dec_2020,Jun_2021,Jun_2010,Jun_2011,Jun_2012,Jun_2013,Jun_2014,Jun_2015,Jun_2016,Jun_2017,Jun_2018,Jun_2019,Jun_2020,Sep_2009,Sep_2010,Sep_2011,Sep_2012,Sep_2006,Sep_2007,Sep_2008,Sep_2018,Mar_2009,Sep_2020,Jun_2009,Sep_2013,Sep_2014,Sep_2015,Sep_2016,Sep_2017,Sep_2019,Mar_2008,Nov_2009,Dec_2008,Oct_2010,Oct_2011,Oct_2012,Oct_2013,Mar_2007,Mar_2006,Jun_2007,Jun_2008,Mar_2004,Mar_2003
TCS,Share Capital +,296.0,296.0,296.0,296.0,196.0,196.0,197.0,197.0,191.0,375.0,375.0,370.0,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Reserves,14821.0,19284.0,24561.0,32267.0,43856.0,45221.0,64816.0,77825.0,75675.0,78523.0,73993.0,74424.0,84727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Borrowings,36.0,41.0,104.0,172.0,115.0,273.0,178.0,250.0,225.0,39.0,5262.0,5077.0,6197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Other Liabilities +,7339.0,6470.0,9280.0,10052.0,13210.0,17105.0,11860.0,11172.0,14541.0,20224.0,24998.0,29145.0,30670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Total Liabilities,22392.0,25991.0,34141.0,42686.0,57377.0,62794.0,77051.0,89444.0,90632.0,99161.0,104628.0,109016.0,121964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Fixed Assets +,2761.0,3422.0,4064.0,5104.0,5929.0,7996.0,9080.0,9231.0,9440.0,9661.0,16122.0,16059.0,16094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,CWIP,941.0,1073.0,1400.0,1764.0,3048.0,2707.0,1640.0,1477.0,1238.0,834.0,781.0,861.0,998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Investments,7893.0,5795.0,5688.0,6324.0,5832.0,3399.0,24159.0,42930.0,37259.0,30469.0,27875.0,30729.0,39388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Other Assets +,10797.0,15700.0,22989.0,29493.0,42568.0,48692.0,42172.0,35806.0,42695.0,58197.0,59850.0,61367.0,65484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,Total Assets,22392.0,25991.0,34141.0,42686.0,57377.0,62794.0,77051.0,89444.0,90632.0,99161.0,104628.0,109016.0,121964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOKINDS,Share Capital +,788.0,788.0,826.0,,,1377.0,1358.0,1358.0,1369.0,1369.0,459.0,734.0,497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,,,1377.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Reserves,1928.0,2310.0,2828.0,,,4038.0,5072.0,1638.0,-16568.0,-14291.0,-10910.0,-16762.0,-16929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.0,,,3711.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Borrowings,8510.0,9819.0,12772.0,,,15347.0,20102.0,24140.0,26221.0,24095.0,27793.0,22610.0,22769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6596.0,,,16030.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Other Liabilities +,951.0,1351.0,1811.0,,,8590.0,6161.0,5226.0,7558.0,6724.0,698.0,1395.0,1404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.0,,,4384.0,,,,,,,,,,,,,,,,,,
ALOKINDS,Total Liabilities,12177.0,14267.0,18237.0,,,29352.0,32692.0,32362.0,18579.0,17897.0,17802.0,7739.0,7741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,,,25503.0,,,,,,,,,,,,,,,,,,
